Acid Malt,1.027,3,0
Amber DME,1.042,10,2
Aromatic Malt,1.036,26,0
Barley (flaked),1.032,1.7,0
Biscuit,1.036,23,0
Black Barley,1.025,500,0
Black Patent,1.025,500,0
Brown Malt,1.032,65,0
Brown Sugar (Dark),1.046,50,1
Brown Sugar (Light),1.046,8,1
Brumalt,1.033,23,0
Candi Sugar (Amber),1.036,75,1
Candi Sugar (Clear),1.036,0,1
Candi Sugar (Dark),1.036,275,1
Cane Sugar,1.046,0,1
CaraAroma,1.035,130,0
Carafa I,1.032,337,0
Carafa II,1.032,412,0
Carafa III,1.032,525,0
Caramel Wheat,1.035,46,0
CaraMunich,1.033,56,0
CaraPils,1.033,2,0
CaraRed,1.035,17,0
Carastan 15,1.034,15,0
Carastan 35,1.034,35,0
CaraVienna,1.034,22,0
Chocolate,1.034,350,0
Chocolate Rye,1.031,250,0
Chocolate Wheat,1.033,400,0
Corn (flaked),1.037,1.3,0
Corn Sugar,1.042,0,1
Corn Syrup,1.036,1,1
Crystal 10,1.034,10,0
Crystal 120,1.034,120,0
Crystal 150,1.035,150,0
Crystal 20,1.034,20,0
Crystal 30,1.034,30,0
Crystal 40,1.034,40,0
Crystal 60,1.034,60,0
Crystal 80,1.034,80,0
Crystal 90,1.034,90,0
Dark DME,1.042,30,2
Dextrin Malt,1.033,2,0
Golden Promise,1.037,2,0
Honey,1.035,1,1
Honey Malt,1.037,25,0
Light DME,1.042,4,2
Light LME,1.036,3,2
Maple Syrup,1.03,35,1
Maris Otter,1.038,3,0
Maris Otter LME,1.036,4,2
Melanoidin Malt,1.037,20,0
Mild Malt,1.036,5,0
Molasses,1.036,80,1
Munich 10,1.036,10,0
Munich 20,1.035,20,0
Munich DME,1.042,10,2
Munich LME,1.036,10,2
Oats,1.037,1,0
Pale LME,1.036,4,2
Pilsner DME,1.042,1,2
Pilsner LME,1.036,2,2
Pilsner Malt,1.037,2,0
Rice (flaked),1.032,1.0,0
Rice Syrup,1.036,0,1
Roasted Barley,1.025,300,0
Rye,1.036,2.0,0
Rye LME,1.036,4,2
Six-Row,1.035,2,0
Smoked Malt,1.037,9,0
Sorghum Extract,1.04,2,2
Special B,1.031,180,0
Special Roast,1.033,50,0
Toasted Malt,1.029,5,0
Treacle,1.036,80,1
Two-Row,1.036,2,0
Victory,1.034,28,0
Vienna,1.036,4,0
Wheat Dark,1.039,9,0
Wheat DME,1.042,2,2
Wheat (flaked),1.035,1.6,0
Wheat Light,1.039,2,0
Wheat LME,1.036,2,2